2015-04-01T11:16:22.494+0300 W -        [initandlisten] Detected unclean shutdown - C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.lock is not empty.
2015-04-01T11:16:22.526+0300 I JOURNAL  [initandlisten] journal dir=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal
2015-04-01T11:16:22.526+0300 I JOURNAL  [initandlisten] recover begin
2015-04-01T11:16:22.526+0300 I JOURNAL  [initandlisten] recover lsn: 177606
2015-04-01T11:16:22.526+0300 I JOURNAL  [initandlisten] recover C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal\j._0
2015-04-01T11:16:22.527+0300 I JOURNAL  [initandlisten] recover skipping application of section seq:0 < lsn:177606
2015-04-01T11:16:22.527+0300 I JOURNAL  [initandlisten] recover skipping application of section seq:118386 < lsn:177606
2015-04-01T11:16:22.534+0300 I JOURNAL  [initandlisten] recover cleaning up
2015-04-01T11:16:22.534+0300 I JOURNAL  [initandlisten] removeJournalFiles
2015-04-01T11:16:22.535+0300 I JOURNAL  [initandlisten] recover done
2015-04-01T11:16:22.549+0300 I JOURNAL  [durability] Durability thread started
2015-04-01T11:16:22.549+0300 I JOURNAL  [journal writer] Journal writer thread started
2015-04-01T11:16:22.549+0300 I CONTROL  [initandlisten] MongoDB starting : pid=13384 port=27017 dbpath=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data 64-bit host=hjusein-pc
2015-04-01T11:16:22.549+0300 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-04-01T11:16:22.549+0300 I CONTROL  [initandlisten] db version v3.0.1
2015-04-01T11:16:22.550+0300 I CONTROL  [initandlisten] git version: 534b5a3f9d10f00cd27737fbcd951032248b5952
2015-04-01T11:16:22.550+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1j-fips 15 Oct 2014
2015-04-01T11:16:22.550+0300 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-04-01T11:16:22.550+0300 I CONTROL  [initandlisten] allocator: system
2015-04-01T11:16:22.550+0300 I CONTROL  [initandlisten] options: { config: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, storage: { dbPath: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.log", quiet: true } }
2015-04-01T11:16:22.574+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-04-01T17:57:15.339+0300 I CONTROL  Ctrl-C signal
2015-04-01T17:57:15.339+0300 I CONTROL  [consoleTerminate] got CTRL_C_EVENT, will terminate after current cmd ends
2015-04-01T17:57:15.339+0300 I CONTROL  [consoleTerminate] now exiting
2015-04-01T17:57:15.339+0300 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2015-04-01T17:57:15.340+0300 I NETWORK  [consoleTerminate] closing listening socket: 408
2015-04-01T17:57:15.340+0300 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2015-04-01T17:57:15.340+0300 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2015-04-01T17:57:15.340+0300 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2015-04-01T17:57:15.340+0300 I STORAGE  [consoleTerminate] shutdown: final commit...
2015-04-01T17:57:15.343+0300 I JOURNAL  [consoleTerminate] journalCleanup...
2015-04-01T17:57:15.343+0300 I JOURNAL  [consoleTerminate] removeJournalFiles
2015-04-01T17:57:15.344+0300 I JOURNAL  [consoleTerminate] Terminating durability thread ...
2015-04-01T17:57:15.442+0300 I JOURNAL  [journal writer] Journal writer thread stopped
2015-04-01T17:57:15.442+0300 I JOURNAL  [durability] Durability thread stopped
2015-04-01T17:57:15.442+0300 I STORAGE  [consoleTerminate] shutdown: closing all files...
2015-04-01T17:57:15.446+0300 I STORAGE  [consoleTerminate] closeAllFiles() finished
2015-04-01T17:57:15.446+0300 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2015-04-01T17:57:15.446+0300 I CONTROL  [consoleTerminate] dbexit:  rc: 12
2015-04-01T23:23:25.359+0300 I CONTROL  ***** SERVER RESTARTED *****
2015-04-01T23:23:25.398+0300 I JOURNAL  [initandlisten] journal dir=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal
2015-04-01T23:23:25.398+0300 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-04-01T23:23:25.411+0300 I JOURNAL  [durability] Durability thread started
2015-04-01T23:23:25.411+0300 I JOURNAL  [journal writer] Journal writer thread started
2015-04-01T23:23:25.411+0300 I CONTROL  [initandlisten] MongoDB starting : pid=13528 port=27017 dbpath=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data 64-bit host=hjusein-pc
2015-04-01T23:23:25.411+0300 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-04-01T23:23:25.412+0300 I CONTROL  [initandlisten] db version v3.0.1
2015-04-01T23:23:25.412+0300 I CONTROL  [initandlisten] git version: 534b5a3f9d10f00cd27737fbcd951032248b5952
2015-04-01T23:23:25.412+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1j-fips 15 Oct 2014
2015-04-01T23:23:25.412+0300 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-04-01T23:23:25.412+0300 I CONTROL  [initandlisten] allocator: system
2015-04-01T23:23:25.412+0300 I CONTROL  [initandlisten] options: { config: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, storage: { dbPath: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.log", quiet: true } }
2015-04-01T23:23:25.428+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-04-02T18:46:48.050+0300 I CONTROL  CTRL_CLOSE_EVENT signal
2015-04-02T18:46:48.050+0300 I CONTROL  [consoleTerminate] got CTRL_CLOSE_EVENT, will terminate after current cmd ends
2015-04-02T18:46:48.052+0300 I CONTROL  [consoleTerminate] now exiting
2015-04-02T18:46:48.053+0300 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2015-04-02T18:46:48.053+0300 I NETWORK  [consoleTerminate] closing listening socket: 440
2015-04-02T18:46:48.053+0300 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2015-04-02T18:46:48.053+0300 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2015-04-02T18:46:48.053+0300 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2015-04-02T18:46:48.053+0300 I STORAGE  [consoleTerminate] shutdown: final commit...
2015-04-02T18:46:48.055+0300 I JOURNAL  [consoleTerminate] journalCleanup...
2015-04-02T18:46:48.055+0300 I JOURNAL  [consoleTerminate] removeJournalFiles
2015-04-02T18:46:48.057+0300 I JOURNAL  [consoleTerminate] Terminating durability thread ...
2015-04-02T18:46:48.155+0300 I JOURNAL  [journal writer] Journal writer thread stopped
2015-04-02T18:46:48.155+0300 I JOURNAL  [durability] Durability thread stopped
2015-04-02T18:46:48.155+0300 I STORAGE  [consoleTerminate] shutdown: closing all files...
2015-04-02T18:46:48.160+0300 I STORAGE  [consoleTerminate] closeAllFiles() finished
2015-04-02T18:46:48.160+0300 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2015-04-02T18:46:48.160+0300 I CONTROL  [consoleTerminate] dbexit:  rc: 12
2015-04-02T18:48:03.762+0300 I CONTROL  ***** SERVER RESTARTED *****
2015-04-02T18:48:03.804+0300 I JOURNAL  [initandlisten] journal dir=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal
2015-04-02T18:48:03.804+0300 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
